Farmed/Wild,Common Name,Scientific Name,System,GHG Low,GHG High,PrGHG Low,PrGHG High,% Feed,% Energy,Feed Conversion Ratio,Energy Use,Energy from Electricity,Protein Yield,% Fish,% Crops,% Poultry,Data Certainty,Note on Species,Note on data,Key reference,Key reference link
"Farmed","Almaco jack","Seriola rivoliana","Marine net pen",1.9,4,14.3,29.2,94,6,2.2,2,15,13.6,59,37,0,"Low","Almaco jack is a species of amberjack native to tropical and subtropical waters around the world. They are farmed in marine net pens, currently at a much lower rate than the similar species Japanese amberjack. Amberjacks are sold whole or filleted, particularly to the Japanese market for sashimi.","No LCA studies to date have assessed production of tunas and other large pelagic fish in marine net pens. Estimates here are based on feed input data and feed compositions collected from Seafood Watch reports, as well as average energy use values for marine net pen production of other species.",null,null
"Farmed","California yellowtail","Seriola lalandi","Marine net pen",1.9,4,14.3,29.3,94,6,2.2,2,15,13.6,59,37,0,"Low","California amberjack, or California yellowtail, is a species of amberjack native to waters around the world. They are farmed in marine net pens. Amberjacks are sold whole or filleted, particularly to the Japanese market for sashimi.","No LCA studies to date have assessed production of tunas and other large pelagic fish in marine net pens. Estimates here are based on feed input data and feed compositions collected from Seafood Watch reports, as well as average energy use values for marine net pen production of other species.",null,null
"Farmed","European bass","Dicentrarchus labrax","Marine net pen",2.6,4.4,30,51.4,74,26,2,9.2,15,8.6,50,49,1,"Medium","European sea bass is a marine finfish species native to European waters and increasingly farmed in Europe, North Africa, and Turkey. They are farmed in both ocean and land-based systems. Products are sold fresh or frozen.","Two studies have been published on sea production of European sea bass, one in net pens and one in cages. Energy use values from both were used for estimates here.","Abdou et al., 2017","http://www.sciencedirect.com/science/article/pii/S0044848616305270"
"Farmed","European bass","Dicentrarchus labrax","Raceway",25.3,44.4,294.4,516.7,7,93,2,186,84,8.6,50,49,1,"Medium","European sea bass is a marine finfish species native to European waters and increasingly farmed in Europe, North Africa, and Turkey. They are farmed in both ocean and land-based systems. Products are sold fresh or frozen.","One study has assessed emissions from sea bass production in raceways and, similar to other species, found much higher rates of energy use and related emissions than studies of marine net pen production.","Jerbi et al., 2012","http://www.sciencedirect.com/science/article/pii/S0144860911000665"
"Farmed","Pacific bluefin tuna","Thunnus orientalis","Marine net pen",4.7,6.8,30.3,43.9,97,3,16.7,2,15,15.4,100,0,0,"Low","Pacific bluefin tuna are fished in the North Pacific and is fished using longlines and other hook and line gears. Juveniles can also be caught with purse seines to be transferred to marine pens for farming.","No LCA studies to date have assessed production of tunas and other large pelagic fish in marine net pens. Estimates here are based on feed input data and feed compositions collected from Seafood Watch reports, as well as average energy use values for marine net pen production of other species. Importantly, little is known of the extent to which wild tuna capture prior to ranching contributes to emissions.",null,null
"Farmed","Barramundi","Lates calcarifer","Cages",2.8,4.6,32.5,52.6,80,20,1.4,4.1,66,8.75,31,39,31,"Low","Barramundi, also known as Giant perch or Asian sea bass, is a catadromous fish found throughout southeast Asia to the north coast of Australia. It is commonly farmed in marine pens or inland ponds, and products are sold fresh, frozen, or processed.","No LCA studies to date have assessed production of Barramundi. Estimates here are based on feed inputs data sourced from Seafood Watch reports and experts, and average energy use values for floating cages producing other finfish.",null,null
"Farmed","Barramundi","Lates calcarifer","Marine net pen",2.5,4.1,28.8,46.7,91,9,1.4,2.7,15,8.75,31,39,31,"Low","Barramundi, also known as Giant perch or Asian sea bass, is a catadromous fish found throughout southeast Asia to the north coast of Australia. It is commonly farmed in marine pens or inland ponds, and products are sold fresh, frozen, or processed.","No LCA studies to date have assessed production of Barramundi. Estimates here are based on feed inputs data sourced from Seafood Watch reports and experts, and average energy use values for marine net pens producing other finfish.",null,null
"Farmed","Barramundi","Lates calcarifer","Ponds",4.2,24.2,47.7,276.7,18,82,1.4,60.8,63,8.75,31,39,31,"Low","Barramundi, also known as Giant perch or Asian sea bass, is a catadromous fish found throughout southeast Asia to the north coast of Australia. It is commonly farmed in marine pens or inland ponds, and products are sold fresh, frozen, or processed.","No LCA studies to date have assessed production of Barramundi. Estimates here are based on feed inputs data sourced from Seafood Watch reports and experts, and average energy use values for pond systems producing other finfish.",null,null
"Farmed","Barramundi","Lates calcarifer","Recirculating tanks",6.6,28.1,75.7,321.4,15,85,1.4,67.2,88,8.75,31,39,31,"Low","Barramundi, also known as Giant perch or Asian sea bass, is a catadromous fish found throughout southeast Asia to the north coast of Australia. It is commonly farmed in marine pens or inland ponds, and products are sold fresh, frozen, or processed.","No LCA studies to date have assessed production of Barramundi. Estimates here are based on feed inputs data sourced from Seafood Watch reports and experts, and average energy use values for recirculating tanks producing other finfish. The wide range of values for energy inputs to recirculating production introduces a large amount of uncertainty for these systems.",null,null
"Farmed","Southern bluefin tuna","Thunnus maccoyii","Marine net pen",4.7,6.8,30.3,44,97,3,16.7,2,15,15.4,100,0,0,"Low","Southern bluefin tuna is found in the southern parts of the Atlantic, Pacific, and Indian oceans. They are harvested with longlines and other hook and line gears such as trolls, and can also be caught with purse seines to be transferred to marine pens for farming.","No LCA studies to date have assessed production of tunas and other large pelagic fish in marine net pens. Estimates here are based on feed input data and feed compositions collected from Seafood Watch reports, as well as average energy use values for marine net pen production of other species. Importantly, little is known of the extent to which wild tuna capture prior to ranching contributes to emissions.",null,null
"Farmed","Cobia","Rachycentron canadum","Marine net pen",3.8,6.2,43.7,72,94,6,2.4,2.7,15,8.6,40,36,24,"Low","Cobia is a large pelagic species native to tropical and subtropical waters around the world. They are farmed primarily in marine net pens, with large-scale production being relatively recent and located mainly in China. Products are sold fresh or frozen.","No LCA studies to date have assessed production of Cobia. Estimates here are based on feed inputs data sourced from Seafood Watch reports and experts, and average energy use values for marine net pens producing other finfish.",null,null
"Farmed","Gilt-head seabream","Sparus aurata","Marine net pen",2.1,3.9,24.5,45.2,91,9,2,2.7,15,8.6,49,49,2,"Low","Gilt-head seabream is a marine finfish species native to European waters. They are farmed throughout Europe, North Africa, and the Middle East in both ocean and land-based systems. Products are sold fresh or frozen.","One LCA study has assessed production of Gilt-head seabream in marine net pens. Variance in energy use were assumed to reflect that of other marine net pen systems, and feed input data were additionally sourced from Seafood Watch reports.","Abdou et al., 2017","http://www.sciencedirect.com/science/article/pii/S0044848616305270"
"Farmed","Gilt-head seabream","Sparus aurata","Recirculating tanks",5.1,22.7,58.7,264.3,17,83,2,62,88,8.6,49,49,2,"Low","Gilt-head seabream is a marine finfish species native to European waters. They are farmed throughout Europe, North Africa, and the Middle East in both ocean and land-based systems. Products are sold fresh or frozen.","No LCA studies to date have assessed Gilt-head seabream production in recirculating systems. Estimates here are based on seabream feed input data and energy use data from other finfish recirculating systems. The wide range of values for energy inputs to recirculating production introduces a large amount of uncertainty for these systems.",null,null
"Farmed","Turbot","Psetta maxima","Recirculating tanks",13.1,27.7,151.9,322.3,8,92,1.4,179,15,8.6,71,29,0,"Medium","Turbot is a flatfish species farmed throughout Europe, primarily in land-based systems. Products are primarily sold fresh.","Two studies have assessed emissions from Turbot production in Europe, both in recirculating systems. Both studies found very high but very different rates of energy use, which drives both the overall emissions estimate here as well as the range. The wide range of values for energy inputs to recirculating production introduces a large amount of uncertainty for these systems.","Aubin et al., 2006","http://www.sciencedirect.com/science/article/pii/S0044848606006818"
"Farmed","Common carp","Cyprinus carpio","Ponds",3.3,12.9,35,135.7,17,83,1.5,37.9,63,9.5,20,80,0,"Low","One of the major species of farmed carp, Common carp is the third most farmed species of fish globally. Production is located mainly in China, using methods including floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. Several studies have provided energy use values for intensive and semi-intensive pond production, with a wide range of results. Feed inputs may vary substantially in these systems, particularly if systems are multi-trophic, multi-species, or integrated with agricultural production. The calculated values here assume that production includes the use of compound feeds, which is not always the case; some systems may not require feed inputs or may only use compound feeds to supplement other food sources.","Wilfart et al., 2013","http://www.sciencedirect.com/science/article/pii/S030147971300073X?via%3Dihub"
"Farmed","Common carp","Cyprinus carpio","Cages",1.3,3.2,13.9,33.2,67,33,1.5,4.1,66,9.5,20,80,0,"Low","One of the major species of farmed carp, Common carp is the third most farmed species of fish globally. Production is located mainly in China, using methods including floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. One study reported energy use rates for cage production of carps. ","Mungkung et al., 2013","http://www.sciencedirect.com/science/article/pii/S0959652613003478"
"Farmed","Common carp","Cyprinus carpio","Paddy fields",0.7,2.3,7.7,24.1,99,1,1.5,0.35,0,9.5,20,80,0,"Low","One of the major species of farmed carp, Common carp is the third most farmed species of fish globally. Production is located mainly in China, using methods including floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. One study reported energy use rates for rice paddy production of carps, but it is expected that the extent to which these systems rely on both feed and energy is likely to range considerably. It is also unclear the extent to which methane emissions from rice paddies may contribute to the relative footprint of fish grown in these environments. Feed inputs may vary substantially in these systems, particularly if systems are multi-trophic, multi-species, or integrated with agricultural production. The calculated values here assume that production includes the use of compound feeds, which is not always the case; some systems may not require feed inputs or may only use compound feeds to supplement other food sources.","Phong et al., 2011","http://www.sciencedirect.com/science/article/pii/S1871141311000989"
"Farmed","Arapaima","Arapaima gigas","Ponds",3.1,9.7,36.5,113.3,36,64,2,60.8,63,8.6,26,74,0,"Low","Arapaima is a large freshwater fish native to the Amazon River basin. Farming in Brazil started relatively recently, using both ponds and floating cages.","No LCA studies to date have assessed production of Arapaima Estimates here are based on feed inputs data sourced from Seafood Watch reports and experts, and average energy use values for pond production of finfish.",null,null
"Farmed","Arapaima","Arapaima gigas","Cages",1.8,3.6,20.5,42.2,92,8,2,4.1,66,8.6,26,74,0,"Low","Arapaima is a large freshwater fish native to the Amazon River basin. Farming in Brazil started relatively recently, using both ponds and floating cages.","No LCA studies to date have assessed production of Arapaima. Estimates here are based on feed inputs data sourced from Seafood Watch reports and experts, and average energy use values for floating cage production of finfish.",null,null
"Farmed","Channel catfish","Ictalurus punctatus","Ponds",3.9,22.3,36.7,212.1,18,82,2.1,60.8,63,10.5,5,95,0,"Low","Channel catfish is a freshwater species native to the United States. It is farmed primarily in pond systems in both the United States and China. Products are sold fresh or frozen.","No catfish LCAs have been undertaken to date. The only energy use data for channel catfish production comes from an energy study in 1999. Estimates here are instead based on pond production of finfish in general, and catfish-specific feed input data.",null,null
"Farmed","Grass carp","Ctenopharyngodon idella","Ponds",3.4,12.9,36.1,135.7,17,83,1.5,37.9,63,9.5,20,80,0,"Low","Grass carp is the most farmed fish species globally. Most production is located in China, using methods including floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. Several studies have provided energy use values for intensive and semi-intensive pond production, with a wide range of results. Feed inputs may vary substantially in these systems, particularly if systems are multi-trophic, multi-species, or integrated with agricultural production. The calculated values here assume that production includes the use of compound feeds, which is not always the case; some systems may not require feed inputs or may only use compound feeds to supplement other food sources.","Wilfart et al., 2013","http://www.sciencedirect.com/science/article/pii/S030147971300073X?via%3Dihub"
"Farmed","Grass carp","Ctenopharyngodon idella","Cages",1.3,3.1,13.8,33,67,33,1.5,4.1,66,9.5,20,80,0,"Low","Grass carp is the most farmed fish species globally. Most production is located in China, using methods including floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. One study reported energy use rates for cage production of carps. ","Mungkung et al., 2013","http://www.sciencedirect.com/science/article/pii/S0959652613003478"
"Farmed","Grass carp","Ctenopharyngodon idella","Paddy fields",0.7,2.3,7.7,24.1,99,1,1.5,0.35,0,9.5,20,80,0,"Low","Grass carp is the most farmed fish species globally. Most production is located in China, using methods including floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. One study reported energy use rates for rice paddy production of carps, but it is expected that the extent to which these systems rely on both feed and energy is likely to range considerably. It is also unclear the extent to which methane emissions from rice paddies may contribute to the relative footprint of fish grown in these environments. Feed inputs may vary substantially in these systems, particularly if systems are multi-trophic, multi-species, or integrated with agricultural production. The calculated values here assume that production includes the use of compound feeds, which is not always the case; some systems may not require feed inputs or may only use compound feeds to supplement other food sources.","Phong et al., 2011","http://www.sciencedirect.com/science/article/pii/S1871141311000989"
"Farmed","Silver carp","Hypophthalmichthys molitrix","Ponds",3.3,12.8,34.8,134.8,17,83,1.5,37.9,63,9.5,20,80,0,"Low","One of the major species of farmed carp, Silver carp is the second most farmed species of fish globally. Production is located mainly in China, with large production volumes also in India and Bangladesh. Methods include floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. Several studies have provided energy use values for intensive and semi-intensive pond production, with a wide range of results. Feed inputs may vary substantially in these systems, particularly if systems are multi-trophic, multi-species, or integrated with agricultural production. The calculated values here assume that production includes the use of compound feeds, which is not always the case; some systems may not require feed inputs or may only use compound feeds to supplement other food sources.","Wilfart et al., 2013","http://www.sciencedirect.com/science/article/pii/S030147971300073X?via%3Dihub"
"Farmed","Silver carp","Hypophthalmichthys molitrix","Cages",1.4,3.1,14.2,32.6,67,33,1.5,4.1,66,9.5,20,80,0,"Low","One of the major species of farmed carp, Silver carp is the second most farmed species of fish globally. Production is located mainly in China, with large production volumes also in India and Bangladesh. Methods include floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. One study reported energy use rates for cage production of carps.","Mungkung et al., 2013","http://www.sciencedirect.com/science/article/pii/S0959652613003478"
"Farmed","Silver carp","Hypophthalmichthys molitrix","Paddy fields",0.7,2.3,7.8,24.3,99,1,1.5,0.35,0,9.5,20,80,0,"Low","One of the major species of farmed carp, Silver carp is the second most farmed species of fish globally. Production is located mainly in China, with large production volumes also in India and Bangladesh. Methods include floating cages, intensive or extensive pond systems, and integrated systems with agriculture. Products are typically sold fresh.","Carp production systems have not received enough attention from LCA studies, given their importance to global fish production. One study reported energy use rates for rice paddy production of carps, but it is expected that the extent to which these systems rely on both feed and energy is likely to range considerably. It is also unclear the extent to which methane emissions from rice paddies may contribute to the relative footprint of fish grown in these environments. Feed inputs may vary substantially in these systems, particularly if systems are multi-trophic, multi-species, or integrated with agricultural production. The calculated values here assume that production includes the use of compound feeds, which is not always the case; some systems may not require feed inputs or may only use compound feeds to supplement other food sources.","Phong et al., 2011","http://www.sciencedirect.com/science/article/pii/S1871141311000989"
"Farmed","Pangasius/Basa","Pangasius bocourti","Ponds",2.9,24.6,41.9,361,10,90,1.6,63.8,63,6.8,12,87,1,"Medium","Basa fish, commonly called Pangasius, is a freshwater shark catfish native to Southeast Asia. Increasingly, Vietnamese production has transitioned to a related species, Pangasianodon hypophthalmus, commonly marketed as swai. Catfish are heavily farmed in Viet Nam and Indonesia and are commonly exported to developed markets. Farming takes place in ponds or floating cages. ","Several LCA studies have reported energy use data for pond culture of pangasius, giving a wide range of results. Studies vary based on production intensity, whether production is monoculture or polyculture, and whether production is integrated with agriculture, introducing a large amount of uncertainty in the inputs to production.","Huysveld et al., 2013","http://www.sciencedirect.com/science/article/pii/S0959652613000292"
"Farmed","Pangasius/Basa","Pangasius bocourti","Cages",1.4,3.4,20.7,49.3,68,32,1.6,4.1,66,6.8,12,87,1,"Low","Basa fish, commonly called Pangasius, is a freshwater shark catfish native to Southeast Asia. Increasingly, Vietnamese production has transitioned to a related species, Pangasianodon hypophthalmus, commonly marketed as swai. Catfish are heavily farmed in Viet Nam and Indonesia and are commonly exported to developed markets. Farming takes place in ponds or floating cages. ","One LCA study has assessed production of pangasius in floating cages; the estimates here reflect energy use inputs to cage production of other finfish. It is to be expected based on studies of other species that energy inputs to cage production are much lower than those to pond production.","Bosma et al., 2011","https://link.springer.com/article/10.1007/s11367-011-0324-4"
"Farmed","Siberian sturgeon","Acipenser baerii","Ponds",3.8,14.7,31.4,121.1,27,73,2.5,60.8,63,12.1,29,71,0,"Low","Siberian sturgeon is a freshwater species native to Russia and other parts of Asia. They are farmed for both meat and production of caviar. Global production is relatively recent and low.","No LCA studies to date have assessed production of sturgeon. Estimates here are based on feed input data from Seafood Watch reports and experts, as well as energy use data for pond production of other species. Estimates reflect the expected emissions for sturgeon fish production, rather than production of caviar.",null,null
"Farmed","Siberian sturgeon","Acipenser baerii","Cages",1.9,4.3,15.5,35.4,87,13,2.5,4.1,66,12.1,29,71,0,"Low","Siberian sturgeon is a freshwater species native to Russia and other parts of Asia. They are farmed for both meat and production of caviar. Global production is relatively recent and low.","No LCA studies to date have assessed production of sturgeon. Estimates here are based on feed input data from Seafood Watch reports and experts, as well as energy use data for cage production of other species. Estimates reflect the expected emissions for sturgeon fish production, rather than production of caviar.",null,null
"Farmed","Nile tilapia","Oreochromis niloticus","Intensive ponds",2.9,12,53.1,217.5,24,76,1.7,27.5,63,5.5,11,84,5,"Medium","Nile tilapia is the most common tilapia species to be farmed. Most production is located throughout Asia as well as Egypt, using intensive, semi-intensive, or extensive pond-based systems. Products are sold fresh or frozen and are commonly breaded or otherwise processed.","Several LCA studies have been undertaken on tilapia production, including both pond systems and floating cages. Energy use rates vary depending on the intensity of the pond systems, which introduces uncertainty to the estimates.","Pelletier and Tyedmers, 2010","http://onlinelibrary.wiley.com/doi/10.1111/j.1530-9290.2010.00244.x/abstract"
"Farmed","Giant tiger prawn","Penaeus monodon","Intensive ponds",2.6,6.1,24,55.8,39,61,1.6,15.7,63,10.9,24,72,3,"Medium","Tiger prawns are found throughout southeast Asia and the north coast of Australia. They are harvested using bottom trawls, and also farmed in intensive, semi-intensive, or extensive ponds in southeast Asia.","Several LCA studies have been carried out on shrimp and prawn production , providing energy use values for intensive and semi-intensive pond culture as well as recirculating systems. Additional feed data were taken from Seafood Watch reports and other studies. Importantly, estimates here reflect only emissions associated with energy and feed, and exclude emissions from land use change associated with shrimp production in coastal regions. Land use change in the form of mangrove deforestation for shrimp production may be a particularly important source of emissions and is not typically accounted for in LCAs; inclusion of mangrove deforestation could result in emissions up to an order of magnitude higher in some systems, although such emissions would not be expected in intensive inland pond production.","Henriksson et al., 2015","http://pubs.acs.org/doi/abs/10.1021/acs.est.5b04634"
"Farmed","Blue mussel","Mytilus edulis","Rafts",0.02,0.1,0.7,3.3,0,100,0,0.6,14,2.7,0,0,0,"High","Blue mussels are found wild primarily in northern European waters, and are also farmed using rafts or longlines. Fisheries employ dredges, and products are sold fresh, frozen, or canned or otherwise preserved.","Mussel production does not require the use of feed inputs, so emissions are primarily the result of energy use by vessels and vehicles during grow-out. Several studies of emissions associated with mussel production have been undertaken and show consistently low rates of energy use during production. As with other bivalves, emissions rates are higher when assessed per unit of protein due to the low edible portion of protein yield.","Iribarren et al., 2010","http://www.sciencedirect.com/science/article/pii/S0921344910001813"
"Farmed","Blue mussel","Mytilus edulis","Longline",0.04,0.2,1.5,6.7,0,100,0,1.2,14,2.7,0,0,0,"High","Blue mussels are found wild primarily in northern European waters, and are also farmed using rafts or longlines. Fisheries employ dredges, and products are sold fresh, frozen, or canned or otherwise preserved.","Mussel production does not require the use of feed inputs, so emissions are primarily the result of energy use by vessels and vehicles during grow-out. Several studies of emissions associated with mussel production have been undertaken and show consistently low rates of energy use during production. As with other bivalves, emissions rates are higher when assessed per unit of protein due to the low edible portion of protein yield.","Iribarren et al., 2010","http://www.sciencedirect.com/science/article/pii/S0921344910001813"
"Farmed","Giant river prawn","Macrobrachium rosenbergii","Intensive ponds",3.06,6.8,28.07,62.39,44,56,1.9,15.7,63,10.9,27,71,2,"Medium","Giant river prawns are primarily farmed in China in intensive, semi-intensive, or extensive pond systems. Production is relatively lower than other prawn species. Products are sold locally or frozen and exported.","Several LCA studies have been carried out on shrimp and prawn production, providing energy use values for intensive and semi-intensive pond culture as well as recirculating systems. Additional feed data were taken from Seafood Watch reports and other studies. Importantly, estimates here reflect only emissions associated with energy and feed, and exclude emissions from land use change associated with shrimp production in coastal regions. and use change in the form of mangrove deforestation for shrimp production may be a particularly important source of emissions and is not typically accounted for in LCAs; inclusion of mangrove deforestation could result in emissions up to an order of magnitude higher in some systems, although such emissions would not be expected in intensive inland pond production.","Henriksson et al., 2015","http://pubs.acs.org/doi/abs/10.1021/acs.est.5b04634"
"Farmed","Whiteleg shrimp","Penaeus vannamei","Intensive ponds",2.6,6.1,23.6,55.8,39,61,1.5,15.7,63,10.9,29,68,2,"Medium","Whiteleg shrimp is the most heavily farmed species of shrimp globally. Production is concentrated in China with major producers throughout Southeast Asia (Indonesia, Thailand, Vietnam) and in Ecuador, and products are commonly frozen and exported to developed markets. Intensive, semi-intensive, and extensive pond systems are used.","Several LCA studies have been carried out on shrimp and prawn production , providing energy use values for intensive and semi-intensive pond culture as well as recirculating systems. Additional feed data were taken from Seafood Watch reports and other studies. Importantly, estimates here reflect only emissions associated with energy and feed, and exclude emissions from land use change associated with shrimp production in coastal regions. and use change in the form of mangrove deforestation for shrimp production may be a particularly important source of emissions and is not typically accounted for in LCAs; inclusion of mangrove deforestation could result in emissions up to an order of magnitude higher in some systems, although such emissions would not be expected in intensive inland pond production.","Cao et al., 2011","http://pubs.acs.org/doi/abs/10.1021/es104058z"
