Farmed/Wild,Common Name,Scientific Name,Gear,GHG Low,GHG High,PrGHG Low,PrGHG High,% Fuel,% Bait,% Other,FUI (L/t),Protein Yield (%),Bait (kg/t),Number of sources,Number of data points,Data certainty,Note on Species,Note on data,Key reference,Key reference link,,
Wild,European pilchard,Sardina pilchardus,Purse seine,0.4,0.5,3.2,4.1,75,0,25,107,12.6,null,2,9,High,"European pilchards or Atlantic sardines are a forage fish found in the north-eastern Atlantic Ocean, Mediterranean, and European inland seas. They are harvested primarily using purse seines, and commonly sold canned or otherwise preserved for human consumption.",\Two recent studies provide fuel use data for the purse seine fishery," including a 2013 longitudinal study by Almeida and colleagues. Fuel use data are consistently under 150 L/t.\""""","Almeida et al., 2014",https://link.springer.com/article/10.1007/s11367-013-0646-5,
Wild,European pilchard,Sardina pilchardus,Midwater trawl,0.4,1.6,3.3,12.5,75,0,25,323,12.6,null,14,36,Low,"European pilchards or Atlantic sardines are a forage fish found in the north-eastern Atlantic Ocean, Mediterranean, and European inland seas. They are harvested primarily using purse seines, and commonly sold canned or otherwise preserved for human consumption.","\European pilchard data are not available for midwater trawl vessels. This estimate is based on 14 studies providing fuel use data for other similar midwater trawl fisheries for small pelagic species.\""""",null,null,,
Wild,Bigeye tuna,Thunnus obesus,Longlines,7,12.4,53.3,93.7,75,0,25,1936,13.2,0-50,3,3,Medium,"Bigeye tuna are found globally in tropical and subtropical waters and harvested with multiple gear types. They are third most fished species of tuna after Skipjack and Yellowfin. They are sometimes fished as juveniles alongside skipjack and yellowfin tuna using purse seines, while longlines are more commonly used to fish larger Bigeye. Products are primarily sold for sushi and sashimi markets.","\Data for Bigeye longliners are available from three sources. Bait usage rates are typically low in tuna fisheries.\""""","Gilman et al., 2014",http://www.sciencedirect.com/science/article/pii/S0308597X13001966,,
Wild,Bigeye tuna,Thunnus obesus,Purse seine,2,2.1,15.1,15.6,75,0,25,461,13.2,null,1,3,Medium,"Bigeye tuna are found globally in tropical and subtropical waters and harvested with multiple gear types. They are third most fished species of tuna after Skipjack and Yellowfin. They are sometimes fished as juveniles alongside skipjack and yellowfin tuna using purse seines, while longlines are more commonly used to fish larger Bigeye. Products are primarily sold for sushi and sashimi markets.",\Three data points are available from one source. Parker and Tyedmers (2011) collected fuel use data for global fisheries in 2011," including data for purse seining vessels catching Bigeye along with Skipjack and Yellowfin.\""""","Tyedmers and Parker, 2011",http://www.armeris.fr/downloads/fuel/Tyedmers_Parker_2012.pdf,
Wild,Atlantic herring,Clupea harengus,Purse seine,0.2,0.4,1.7,3.9,75,0,25,50,11.2,null,9,52,High,"Atlantic herring are a forage fish harvested in the north Atlantic using purse seines and midwater trawls, and is one of the most harvested species in the Atlantic Ocean. Atlantic herring products are commonly sold as bait for lobster, tuna, and other fisheries, as well as preserved or other products for human consumption, and meal and oil for feed inputs. ",\Nine studies have published fuel use data for Atlantic herring from 1973 to 2012," with values consistently under 200 L/t.\""""","Jafarzedeh et al., 2016",http://www.sciencedirect.com/science/article/pii/S0959652615008471,
Wild,Atlantic menhaden,Brevoortia tyrannus,Purse seine,0.1,0.2,1.1,1.3,75,0,25,30,10.9,null,1,16,Medium,"Atlantic menhaden are an oily forage fish found along the eastern coast of North America. They are fished with purse seine gear primarily for reduction to meal and oil for use as inputs to aquaculture and livestock feeds, with a smaller amount used for bait in lobster and crab fisheries.",\Fuel use data are available from a single source drawing upon data from 1985 to 2001. Fuel use estimate is in line with other similar fisheries," but new data need to be collected.\""""","Tyedmers, 2001",http://www.fcrn.org.uk/sites/default/files/Fishing_and_Energy_Use.pdf,
Wild,Albacore,Thunnus alalunga,Longlines,4,5.8,27.3,40.6,74,1,25,1181,14.4,0-50,3,7,Medium,"Albacore tuna is fished throughout the Atlantic, Pacific, and Indian Oceans using baited longlines as well as trolls and other lines. It is commonly canned and marketed as canned white tuna, and is also sold fresh and frozen.","\Fuel use estimates are based on seven data points from three sources. Parker and Tyedmers (2011) carried out a global study of inputs to tuna fisheries including Albacore longliners. There is a high degree of variability in reported rates of fuel use. Reported bait usage rates in tuna fisheries are typically low.\""""","Tyedmers and Parker, 2011",http://www.armeris.fr/downloads/fuel/Tyedmers_Parker_2012.pdf,,
Wild,Capelin,Mallotus villosus,Purse seine,0.1,0.1,1.1,1.4,75,0,25,26,8.5,null,2,22,Medium,"Capelin is a small forage fish harvested using purse seines in Canada's Gulf of St Lawrence and the North Atlantic. Traditionally fished for bait or reduction to meal and oil feed inputs, Capelin fisheries today largely provide roe products to the sushi market.",\Data are from two sources and range from 1977 to 1997. Although the fuel use estimate is consistent with similar fisheries, new data need to be collected," particularly given the changing conditions of the fishery.\""""","Tyedmers, 2001",http://www.fcrn.org.uk/sites/default/files/Fishing_and_Energy_Use.pdf
Wild,Yellowfin tuna,Thunnus albacares,Longlines,5,8.7,34.3,60.3,75,0,25,1533,14.4,0-50,1,19,Medium,"Yellowfin tuna is a medium-sized tuna found in tropical and subtropical waters globally, and is the second most heavily fished tuna species after Skipjack. They are commonly fished alongside Skipjack, particularly as juveniles, using purse seine. Larger individuals are harvested with longlines and other hook and line gears. Products are either canned or sold as steaks or in sushi and sashimi.","\A total 19 fuel use data points are available for Yellowfin longliners in Australia as reported by Parker et al. (2015). Fuel use rates are similar to those observed in other longline studies. Bait usage rates in tuna fisheries are typically low.\""""","Parker et al., 2015",http://www.sciencedirect.com/science/article/pii/S0959652614010208,,
Wild,Yellowfin tuna,Thunnus albacares,Purse seine,1.8,2.1,12.2,14.8,75,0,25,417,14.4,null,3,7,High,"Yellowfin tuna is a medium-sized tuna found in tropical and subtropical waters globally, and is the second most heavily fished tuna species after Skipjack. They are commonly fished alongside Skipjack, particularly as juveniles, using purse seine. Larger individuals are harvested with longlines and other hook and line gears. Products are either canned or sold as steaks or in sushi and sashimi.","\Seven fuel use estimates for purse seine vessels harvesting Yellowfin tuna are available from three sources. Parker et al. (2015) conducted a global study of fuel inputs to tuna purse seiners.\""""","Parker et al., 2015",http://www.sciencedirect.com/science/article/pii/S0959652614004776,,
Wild,Atlantic bluefin tuna,Thunnus thynnus,Troll lines,4.9,6.6,36.6,49.7,74,1,25,1267,13.3,0-50,3,5,Medium,"Atlantic bluefin tuna are fished in the Atlantic Ocean and the Mediterranean Sea, and either harvested directly or transferred to marine pens for ranching. Fisheries operate multiple gear types, and tuna are typically sold to Japanese sushi markets.","\Limited data are available for Bluefin fisheries. Fuel use estimates are based on five data points from three sources. Reported bait usage rates in tuna fisheries are typically low.\""""","Basurko et al., 2013",http://www.sciencedirect.com/science/article/pii/S0959652613003429,,
Wild,Atlantic bluefin tuna,Thunnus thynnus,Purse seine,1.6,2.8,12.1,20.7,75,0,25,519,13.3,null,6,22,Low,"Atlantic bluefin tuna are fished in the Atlantic Ocean and the Mediterranean Sea, and either harvested directly or transferred to marine pens for ranching. Fisheries operate multiple gear types, and tuna are typically sold to Japanese sushi markets.",\Data for Bluefin purse seining are not available. Estimates of fuel use here reflects all purse seining vessels targeting tunas and other large pelagic species," and as such may be underestimates.\""""",null,null,
Wild,Pacific bluefin tuna,Thunnus orientalis,Longlines,5,10.2,37.9,77.8,75,0,25,1568,13.1,0-50,14,60,Low,Pacific bluefin tuna are fished in the North Pacific and is fished using longlines and other hook and line gears. Juveniles can also be caught with purse seines to be transferred to marine pens for farming.,"\Limited data are available for Bluefin fisheries. Fuel use estimates here are based on longline fisheries for other species of tunas and large pelagic species. Reported bait usage rates in tuna fisheries are typically low.\""""",null,null,,
Wild,Skipjack tuna,Katsuwonus pelamis,Pole and line,5.5,6.3,35.3,40.4,74,1,22,1366,15.5,0-50,2,2,Low,"Skipjack is the most heavily fished species of tuna globally and one of the most fished species of fish. Fisheries primarily employ purse seine gear, while some fisheries operate pole and line. Large schools are targeted with or without the use of fish aggregated devices. Skipjack tuna is typically canned and sold as canned light tuna.",\Fuel use data for pole and line fisheries for Skipjack tuna are limited and based on pole and line fisheries for tunas more widely. As such," they may be overestimates due to the schooling behaviour of Skipjack relative to other tunas. Data specific to these fisheries will improve estimate confidence.\""""",null,null,
Wild,Skipjack tuna,Katsuwonus pelamis,Purse seine,1.6,3.1,10.6,20.2,75,0,25,569,15.5,null,3,6,High,"Skipjack is the most heavily fished species of tuna globally and one of the most fished species of fish. Fisheries primarily employ purse seine gear, while some fisheries operate pole and line. Large schools are targeted with or without the use of fish aggregated devices. Skipjack tuna is typically canned and sold as canned light tuna.","\Six fuel use data points from three sources were used to estimate fuel use rates. Parker et al. (2015) assessed fuel inputs and emissions associated with Skipjack and Yellowfin tuna caught with purse seiners globally.\""""","Parker et al., 2015",http://www.sciencedirect.com/science/article/pii/S0959652614004776,,
Wild,Southern bluefin tuna,Thunnus maccoyii,Longlines,5,10.2,36.2,74.4,75,0,25,1568,13.7,0-50,14,60,Low,"Southern bluefin tuna is found in the southern parts of the Atlantic, Pacific, and Indian oceans. They are harvested with longlines and other hook and line gears such as trolls, and can also be caught with purse seines to be transferred to marine pens for farming.",\Data are not available specific to Southern bluefin tuna fisheries," so fuel use estimates here are based on longline fisheries for other species of tuna and large pelagic species. Bait usage rates are typically low for tuna fisheries.\""""",null,null,
Wild,Sockeye salmon,Oncorhynchus nerka,Gillnets,3.5,4.3,26.8,33.6,75,0,25,890,12.9,null,2,5,Low,"Sockeye salmon are found on both sides of the North Pacific. They are fished with troll lines, gillnets, and purse seines, and products are sold fresh, frozen, or preserved.","\Fuel use estimates are from five data points reported by two sources for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Sockeye salmon,Oncorhynchus nerka,Purse seine,1.6,2,12.3,15.8,75,0,25,455,12.9,null,1,2,Low,"Sockeye salmon are found on both sides of the North Pacific. They are fished with troll lines, gillnets, and purse seines, and products are sold fresh, frozen, or preserved.","\Fuel use estimates are from two data points reported by one source for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Sockeye salmon,Oncorhynchus nerka,Troll lines,3.8,4.8,29.7,36.9,75,0,25,935,12.9,null,1,1,Low,"Sockeye salmon are found on both sides of the North Pacific. They are fished with troll lines, gillnets, and purse seines, and products are sold fresh, frozen, or preserved.","\A single fuel use estimate has been reported for Sockeye troll fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Swordfish,Xiphias gladius,Longlines,6.8,11.9,56.1,97.5,75,0,25,1925,12.2,0-50,4,12,Medium,"Swordfish are found throughout the Pacific, Indian, and Atlantic oceans and fished with longlines, handlines, and other hook and line gears. Products are sold fresh or frozen as steaks.",\Fuel use estimates are from 12 data points reported by four sources," although three sources report data from prior to 2000. More recent data are provided for European fisheries by Anderson and Guillen (2011).\""""","Anderson and Guillen, 2011",null,
Wild,Chinook salmon,Oncorhynchus tshawytscha,Gillnets,2.9,4.3,26.7,40.5,75,0,25,897,10.7,null,3,10,Low,"Chinook salmon are an anadromous species found in the northern Pacific ocean and harvested primarily on the west coast of North America. Fisheries employ troll lines, gillnets, and purse seines. Chinook is also farmed in New Zealand as King Salmon in marine net pens.","\Fuel use estimates are from 10 data points reported by three sources for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Chinook salmon,Oncorhynchus tshawytscha,Purse seine,1.4,1.4,12.7,13,75,0,25,341,10.7,null,2,9,Low,"Chinook salmon are an anadromous species found in the northern Pacific ocean and harvested primarily on the west coast of North America. Fisheries employ troll lines, gillnets, and purse seines. Chinook is also farmed in New Zealand as King Salmon in marine net pens.","\Fuel use estimates are from nine data points reported by two sources for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Chinook salmon,Oncorhynchus tshawytscha,Troll lines,5.9,8.5,55.4,79,75,0,25,902,10.7,null,2,3,Low,"Chinook salmon are an anadromous species found in the northern Pacific ocean and harvested primarily on the west coast of North America. Fisheries employ troll lines, gillnets, and purse seines. Chinook is also farmed in New Zealand as King Salmon in marine net pens.","\Fuel use estimates are from three data points reported by two sources for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Chum salmon,Oncorhynchus keta,Gillnets,3.6,4.3,37,44.6,75,0,25,918,9.7,null,1,3,Low,"Chum salmon are an anadromous species of Pacific salmon, and are found on both sides of the North Pacific. The are harvested using multiple gears, including troll lines, gillnets, and purse seines.","\Fuel use estimates are from three data points reported by one source for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Chum salmon,Oncorhynchus keta,Purse seine,1.4,1.8,14.2,18.8,75,0,25,417,9.7,null,1,3,Low,"Chum salmon are an anadromous species of Pacific salmon, and are found on both sides of the North Pacific. The are harvested using multiple gears, including troll lines, gillnets, and purse seines.","\Fuel use estimates are from three data points reported by one source for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Chum salmon,Oncorhynchus keta,Troll lines,3.6,4.1,36.7,42.4,75,0,25,858,9.7,null,2,11,Low,"Chum salmon are an anadromous species of Pacific salmon, and are found on both sides of the North Pacific. The are harvested using multiple gears, including troll lines, gillnets, and purse seines.","\Fuel use estimates are from 11 data points reported by two sources for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Coho salmon,Oncorhynchus kisutch,Gillnets,2.9,4.3,21.8,33.1,75,0,25,897,13.1,null,3,10,Low,"Coho salmon are an anadromous fish found in the North Pacific. Less commonly caught than other species of Pacific salmon, they can be fished with troll lines, gillnets, and purse seines.","\Fuel use estimates are from 10 data points reported by three sources for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Coho salmon,Oncorhynchus kisutch,Purse seine,1.4,1.4,10.4,10.7,75,0,25,341,13.1,null,2,9,Low,"Coho salmon are an anadromous fish found in the North Pacific. Less commonly caught than other species of Pacific salmon, they can be fished with troll lines, gillnets, and purse seines.","\Fuel use estimates are from nine data points reported by two sources for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Coho salmon,Oncorhynchus kisutch,Troll lines,3.5,3.9,26.5,29.7,75,0,25,847,13.1,null,1,4,Low,"Coho salmon are an anadromous fish found in the North Pacific. Less commonly caught than other species of Pacific salmon, they can be fished with troll lines, gillnets, and purse seines.","\Fuel use estimates are from four data points reported by one source for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Pink salmon,Oncorhynchus gorbuscha,Gillnets,0.8,0.9,6.2,7.2,75,0,25,192,12.5,null,1,2,Low,"Pink salmon are the most heavily fished species of Pacific salmon. They are found throughout the North Pacific, and are more abundant and shorter lived than other similar species. They are harvested primarily with purse seine gear, although hook and line methods are also used. Pink salmon is commonly canned and sold exported globally from North America.","\Fuel use estimates are from two data points reported by one source for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Pink salmon,Oncorhynchus gorbuscha,Purse seine,1.1,1.4,8.5,10.9,75,0,25,248,12.5,null,2,4,Medium,"Pink salmon are the most heavily fished species of Pacific salmon. They are found throughout the North Pacific, and are more abundant and shorter lived than other similar species. They are harvested primarily with purse seine gear, although hook and line methods are also used. Pink salmon is commonly canned and sold exported globally from North America.","\Fuel use estimates are from four data points reported by two sources for Pacific salmon fisheries. A life cycle study of Pink salmon provided to the UK market was carried out by Fulton (2010).\""""","Fulton, 2010",https://dalspace.library.dal.ca/handle/10222/13042,,
Wild,Pink salmon,Oncorhynchus gorbuscha,Troll lines,3.4,3.7,27.2,29.5,75,0,25,795,12.5,null,1,3,Low,"Pink salmon are the most heavily fished species of Pacific salmon. They are found throughout the North Pacific, and are more abundant and shorter lived than other similar species. They are harvested primarily with purse seine gear, although hook and line methods are also used. Pink salmon is commonly canned and sold exported globally from North America.","\Fuel use estimates are from three data points reported by one source for Pacific salmon fisheries. Tyedmers (2000) assessed energy inputs to salmon fisheries using multiple gear types. More recent data are needed to improve certainty.\""""","Tyedmers, 2000",https://open.library.ubc.ca/cIRcle/collections/ubctheses/831/items/1.0099686,,
Wild,Blue grenadier,Macruronus novaezelandiae,Bottom trawl,3.4,4.6,40.7,55.4,75,0,25,666,8.3,null,3,12,High,"Blue grenadier, or hoki, is a whitefish species fished primarily in New Zealand and sold fresh, frozen, or processed. It is typically caught using bottom trawls.","\Fuel use estimates are based on 12 data points from three sources. Parker et al. (2015) report recent time-series fuel consumption data for Australian trawl fisheries targeting grenadier and other species.\""""","Parker et al., 2015",http://www.sciencedirect.com/science/article/pii/S0959652614010208,,
Wild,Alaska pollock,Theragra chalcogramma,Midwater trawl,0.3,2.5,5.1,40.7,75,0,25,91,6.2,null,6,27,Low,,\Alaska pollock is a cod species found in the North Pacific. Fished primarily by the United States," it is one of the most caught species globally. Fisheries use midwater trawls. Products are sold fresh or frozen as whitefish or preserved as surimi or imitation crab meat.\""""","Fulton, 2010",null,
Wild,Atlantic cod,Gadus morhua,Gillnets,1.5,2.4,16.7,26.8,75,0,25,446,8.9,null,8,63,Medium,"A heavily targeted groundfish species in the Atlantic Ocean, Atlantic cod is harvested using multiple gear types, particularly bottom trawls. After the collapse of the Canadian cod fishery, fisheries are primarily located in European waters. Products are commonly sold frozen or processed.","\Atlantic cod fisheries are among the most heavily studied fisheries for fuel use and LCA. Gillnet fuel estimates are based on 63 data points from eight sources. Ziegler et al. (2003) carried out LCA on cod products from bottom trawl and gillnet fisheries.\""""","Ziegler et al., 2003",https://link.springer.com/article/10.1007/BF02978747,,
Wild,Atlantic cod,Gadus morhua,Longlines,2,4,22.9,44.5,65,13,22,370,8.9,50-400,6,96,High,"A heavily targeted groundfish species in the Atlantic Ocean, Atlantic cod is harvested using multiple gear types, particularly bottom trawls. After the collapse of the Canadian cod fishery, fisheries are primarily located in European waters. Products are commonly sold frozen or processed.",\Atlantic cod fisheries are among the most heavily studied fisheries for fuel use and LCA. Longline fuel estimates are based on 96 data points from six sources. Svanes et al. (2011) carried out LCA on cod products from longline fisheries. Bait estimates are based on longline fisheries targeting marine white fish species," assumed to be made up of smell pelagic (75%) and other species.\""""","Svanes et al., 2011",https://link.springer.com/article/10.1007/s11367-011-0298-2,
Wild,Atlantic cod,Gadus morhua,Bottom trawl,1.6,2.8,18,31.6,75,0,25,810,8.9,null,15,102,High,"A heavily targeted groundfish species in the Atlantic Ocean, Atlantic cod is harvested using multiple gear types, particularly bottom trawls. After the collapse of the Canadian cod fishery, fisheries are primarily located in European waters. Products are commonly sold frozen or processed.","\Atlantic cod fisheries are among the most heavily studied fisheries for fuel use and LCA. Gillnet fuel estimates are based on 102 data points from 15 sources. Ziegler et al. (2015) carried out LCA on cod trawlers in the northeast Atlantic.\""""","Ziegler et al., 2015",https://link.springer.com/article/10.1007/s11367-015-0898-3,,
Wild,Argentine hake,Merluccius hubbsi,Bottom trawl,1.6,4.3,18.7,50.1,75,0,25,975,8.5,null,34,304,Low,"Found in the southwest Atlantic Ocean, Argentine hake is fished off the eastern coast of South America using bottom trawls. Hake is sold fresh or frozen.",\Data specific to fisheries targeting Argentine hake are not available," so fuel use estimates here are based on bottom trawl fisheries targeting any marine white fish species. 304 fuel use data points were drawn from 34 sources.\""""",null,null,
Wild,Flathead mullet,Mugil cephalus,Purse seine,1.3,2.2,12.7,21.4,75,0,25,601,10.2,null,7,34,Low,"Flathead mullet or Striped mullet is a catadromous fish found throughout the Atlantic, Pacific, and Indian oceans. Multiple gears have been employed, although today's fisheries primarily use purse seine nets.",\Data specific to purse seining vessels targeting mullet are not available. Fuel use estimates are instead based on other purse seine fisheries for any marine white fish," using 34 data points from seven sources.\""""",null,null,
Wild,Atlantic horse mackerel,Trachurus trachurus,Midwater trawl,4.3,6.1,42.1,59.6,75,0,25,949,10.3,null,2,3,Medium,"Atlantic horse mackerel is a species of jack mackerel found throughout the eastern Atlantic, Mediterranean Sea and European inland seas. It is caught with midwater and bottom trawls, longlines, and purse seines, and sold fresh, frozen, or preserved.","\Fuel use estimates are from three data points reported by two sources. Vazquez-Rowe et al. (2010) conducted an LCA on Atlantic horse mackerel trawl fisheries.\""""","Vazquez-Rowe et al., 2010",http://www.sciencedirect.com/science/article/pii/S016578361000247X,,
